	Facies	Formation	Well Name	Depth	GR	ILD_log10	DeltaPHI	PHIND	PE	NM_M	RELPOS
17	2	A1 SH	SHRIMPLIN	2801.5	64.7212315207	0.418	8.50110479889	15.1855733273	2.95917757031	1	0.596
18	2	A1 SH	SHRIMPLIN	2802.0	61.2563911346	0.401	7.23340769087	15.3052062195	2.91125254594	1	0.574
19	2	A1 SH	SHRIMPLIN	2802.5	57.6216626819	0.386	6.47688702024	15.1657905767	2.86724967678	1	0.553
20	2	A1 SH	SHRIMPLIN	2803.0	58.0265398098	0.369	5.85103842133	14.4425965612	2.94032101959	1	0.532
21	2	A1 SH	SHRIMPLIN	2803.5	58.5691300501	0.352	5.78811520687	14.6510495088	2.97010520702	1	0.511
22	2	A1 SH	SHRIMPLIN	2804.0	59.7737738191	0.344	6.60496674364	14.9070172982	3.03391673026	1	0.489
23	2	A1 SH	SHRIMPLIN	2804.5	65.0045980238	0.342	6.40955401516	15.0119509274	2.98374279235	1	0.468
24	2	A1 SH	SHRIMPLIN	2805.0	65.0949296253	0.346	6.1027125827	14.8637651834	3.00351566842	1	0.447
25	3	A1 SH	SHRIMPLIN	2805.5	69.8038942538	0.354	5.4622463794	14.4409943864	2.98756660809	1	0.404
26	3	A1 SH	SHRIMPLIN	2806.0	73.1850033005	0.354	5.85591982097	14.4949643701	3.01595933954	1	0.383
27	2	A1 SH	SHRIMPLIN	2806.5	84.1088895936	0.348	8.08036506185	16.3813248583	3.02222221905	1	0.362
28	2	A1 SH	SHRIMPLIN	2807.0	89.9914878972	0.346	11.0689892747	19.8516691129	3.04584077897	1	0.34
29	2	A1 SH	SHRIMPLIN	2807.5	92.6181065865	0.358	13.5518155789	22.6448745968	3.06214417247	1	0.319
30	2	A1 SH	SHRIMPLIN	2808.0	85.9344884362	0.377	13.7828247497	22.2158453965	3.04906167218	1	0.298
31	2	A1 SH	SHRIMPLIN	2808.5	74.7026093928	0.401	11.9650716671	18.8687412214	3.06741419724	1	0.277
32	2	A1 SH	SHRIMPLIN	2809.0	61.6487889521	0.439	10.6872489507	14.0126339946	3.04943759309	1	0.255
33	3	A1 SH	SHRIMPLIN	2809.5	52.9422971462	0.47	10.2191991559	9.25430043202	3.29797348598	1	0.234
34	3	A1 SH	SHRIMPLIN	2810.0	46.2892315582	0.493	10.7879228395	6.72378513663	3.75900126013	1	0.213
35	3	A1 SH	SHRIMPLIN	2810.5	55.5491022001	0.524	11.513952963	7.52724859725	4.19649219251	1	0.17
36	3	A1 SH	SHRIMPLIN	2811.0	71.5719157127	0.543	12.569823055	11.285125538	4.17063453913	1	0.149
37	3	A1 SH	SHRIMPLIN	2811.5	90.198719413	0.555	13.7629292424	15.9456274259	3.77937717948	1	0.128
38	3	A1 SH	SHRIMPLIN	2812.0	95.2457228256	0.558	14.7465713028	17.9367976403	3.41362868918	1	0.106
39	3	A1 SH	SHRIMPLIN	2812.5	81.7633636748	0.549	15.049400211	18.6244868682	3.23530563647	1	0.085
40	3	A1 SH	SHRIMPLIN	2813.0	76.9336423883	0.53	15.1536302932	17.7513817901	3.14115963239	1	0.064
41	2	A1 SH	SHRIMPLIN	2813.5	70.1998457802	0.521	15.894156303	17.241051813	3.15808414121	1	0.043
42	2	A1 SH	SHRIMPLIN	2814.0	65.1573587878	0.535	15.4133195805	15.6315184458	3.29048425841	1	0.021
43	8	A1 LM	SHRIMPLIN	2814.5	57.4881974814	0.628	12.2172291545	12.0905571517	3.57521864984	2	1.0
44	8	A1 LM	SHRIMPLIN	2815.0	43.6416797506	0.702	8.55651011699	7.90295875436	4.17849708603	2	0.981
45	8	A1 LM	SHRIMPLIN	2815.5	40.0167276813	0.762	5.84570171062	5.01854201099	4.90516470612	2	0.963
46	8	A1 LM	SHRIMPLIN	2816.0	46.5629146435	0.823	4.83718397378	4.10650603645	5.40959248622	2	0.944
47	6	A1 LM	SHRIMPLIN	2816.5	59.0495298193	0.915	4.23645945831	5.04735186665	5.58536402383	2	0.926
48	6	A1 LM	SHRIMPLIN	2817.0	73.4131548346	0.999	4.47030077878	5.123822378	5.54146730629	2	0.907
49	6	A1 LM	SHRIMPLIN	2817.5	86.0834948224	1.045	4.78252913664	5.67197897034	5.46583334583	2	0.889
50	6	A1 LM	SHRIMPLIN	2818.0	89.1908523219	1.064	5.40423421089	5.73535770872	5.42947992753	2	0.87
51	6	A1 LM	SHRIMPLIN	2818.5	84.6606899459	1.051	6.89363311909	6.26523555369	5.45372384128	2	0.852
52	6	A1 LM	SHRIMPLIN	2819.0	75.3681444763	1.018	8.29472276458	7.41407198789	5.32940309772	2	0.833
53	6	A1 LM	SHRIMPLIN	2819.5	62.8343818411	0.972	9.09502092842	8.79194034315	4.9789200053	2	0.796
54	6	A1 LM	SHRIMPLIN	2820.0	51.5753593312	0.952	7.96987732962	9.3249571167	4.5354247943	2	0.778
55	6	A1 LM	SHRIMPLIN	2820.5	46.2974939764	0.924	5.61403982885	9.10376934293	4.27970719257	2	0.759
56	6	A1 LM	SHRIMPLIN	2821.0	46.6850644867	0.876	4.67623599229	8.1470270264	4.17901468738	2	0.741
57	6	A1 LM	SHRIMPLIN	2821.5	53.5608757414	0.826	5.79861347169	8.01039643356	4.25726290174	2	0.722
58	6	A1 LM	SHRIMPLIN	2822.0	59.6869974808	0.777	8.92462265863	8.76409473709	4.30186391945	2	0.704
59	6	A1 LM	SHRIMPLIN	2822.5	54.4543912934	0.728	12.5836318813	10.7164312483	4.26526879801	2	0.685
60	7	A1 LM	SHRIMPLIN	2823.0	44.9524893784	0.699	15.0100961335	12.3588280376	4.05696453491	2	0.667
61	7	A1 LM	SHRIMPLIN	2823.5	44.5303818997	0.682	16.5979428074	12.9758665011	3.83059299242	2	0.648
62	4	A1 LM	SHRIMPLIN	2824.0	50.2804492736	0.676	16.429447805	13.0610681625	3.71387293032	2	0.63
63	4	A1 LM	SHRIMPLIN	2824.5	57.7199342644	0.671	14.1176655172	11.4247117929	3.91031190704	2	0.611
64	4	A1 LM	SHRIMPLIN	2825.0	62.8839064427	0.68	9.96597810219	9.63628223832	4.43337675218	2	0.574
65	4	A1 LM	SHRIMPLIN	2825.5	59.7090669138	0.71	6.29758806689	9.00884717611	5.01966384361	2	0.556
66	4	A1 LM	SHRIMPLIN	2826.0	57.8852205717	0.744	4.10683277602	9.27292110032	5.44985251993	2	0.537
67	6	A1 LM	SHRIMPLIN	2826.5	57.5211010814	0.786	3.1205229281	9.26990591653	5.54858207674	2	0.519
68	6	A1 LM	SHRIMPLIN	2827.0	73.3672970428	0.839	3.06924609658	8.83828777565	5.45049750734	2	0.5
69	6	A1 LM	SHRIMPLIN	2827.5	91.9192595152	0.881	3.93363612302	8.29308636981	5.34022480208	2	0.481
70	6	A1 LM	SHRIMPLIN	2828.0	109.147689439	0.911	5.29397632492	6.71317844825	5.25100386892	2	0.463
71	6	A1 LM	SHRIMPLIN	2828.5	117.852860066	0.94	5.88104905815	6.03079543175	5.29317469518	2	0.444
72	6	A1 LM	SHRIMPLIN	2829.0	107.782669825	0.972	6.03038875055	6.32075331155	5.45677451523	2	0.426
73	6	A1 LM	SHRIMPLIN	2829.5	90.2711741098	1.008	5.54091109625	6.64866303273	5.77483390054	2	0.407
74	6	A1 LM	SHRIMPLIN	2830.0	66.1024698496	1.061	3.99088075099	6.54771559177	6.0115603357	2	0.37
75	6	A1 LM	SHRIMPLIN	2830.5	43.8140337009	1.076	3.31876122835	6.52494794791	6.09109431814	2	0.352
76	6	A1 LM	SHRIMPLIN	2831.0	36.9511713604	1.071	3.44736000698	6.27796404164	5.91336172054	2	0.333
77	6	A1 LM	SHRIMPLIN	2831.5	34.8532653945	1.058	3.15620342133	6.22774918374	5.67028889373	2	0.315
78	6	A1 LM	SHRIMPLIN	2832.0	36.8602024851	1.038	2.55476575295	6.23231140257	5.54746436288	2	0.296
79	6	A1 LM	SHRIMPLIN	2832.5	35.7251173429	1.005	2.40725941863	6.75738309001	5.40108818698	2	0.278
80	6	A1 LM	SHRIMPLIN	2833.0	33.7204826272	0.968	2.14739805383	7.6008419914	5.20831010616	2	0.259
81	6	A1 LM	SHRIMPLIN	2833.5	35.4235474563	0.943	1.60090036547	8.12673521248	4.94461594751	2	0.241
82	6	A1 LM	SHRIMPLIN	2834.0	44.4057406636	0.924	1.39190775878	8.48414486619	4.69363476482	2	0.222
83	6	A1 LM	SHRIMPLIN	2834.5	51.0205701694	0.9	2.14504729147	8.21300749932	4.62301785213	2	0.204
84	6	A1 LM	SHRIMPLIN	2835.0	62.2685808973	0.875	4.66540939802	8.13109115872	4.64207578937	2	0.185
85	6	A1 LM	SHRIMPLIN	2835.5	68.7654426769	0.854	8.06817197861	8.68433595856	4.68144476979	2	0.167
86	6	A1 LM	SHRIMPLIN	2836.0	74.5478141275	0.849	10.8204318244	10.0615751223	4.67081920777	2	0.148
87	6	A1 LM	SHRIMPLIN	2836.5	78.7001720244	0.864	11.2528798407	10.3225771757	4.66038520231	2	0.13
88	6	A1 LM	SHRIMPLIN	2837.0	79.2597699902	0.907	9.75857662191	9.81012143569	4.67422259617	2	0.111
89	6	A1 LM	SHRIMPLIN	2837.5	74.2221065089	0.932	7.6593688014	7.40058505318	4.77765293542	2	0.093
90	6	A1 LM	SHRIMPLIN	2838.0	65.2349775527	0.92	5.49050789183	5.05158373496	5.04651897934	2	0.074
91	6	A1 LM	SHRIMPLIN	2838.5	62.4416275556	0.886	3.91530321303	3.75771778577	5.44240518302	2	0.056
92	6	A1 LM	SHRIMPLIN	2839.0	65.453973148	0.829	2.36381970073	5.38208623276	5.63255746255	2	0.037
93	6	A1 LM	SHRIMPLIN	2839.5	79.3317455181	0.754	1.86679315381	11.0864489448	5.28920252373	2	0.019
94	3	B1 SH	SHRIMPLIN	2840.0	101.914528644	0.713	2.93331582138	19.1882987877	4.34423895259	1	1.0
95	3	B1 SH	SHRIMPLIN	2840.5	111.783869376	0.686	5.5103842542	25.3378275836	3.4247557091	1	0.974
96	3	B1 SH	SHRIMPLIN	2841.0	107.805961629	0.665	7.98619143142	25.9649918916	2.79177749523	1	0.949
97	3	B1 SH	SHRIMPLIN	2841.5	89.716897261	0.64	9.3380775274	22.1869449122	2.73341054316	1	0.923
98	3	B1 SH	SHRIMPLIN	2842.0	78.29873565	0.601	10.1280639284	16.7757571702	3.07049386996	1	0.897
99	2	B1 SH	SHRIMPLIN	2842.5	68.0058066624	0.568	10.9350390712	13.0429301639	3.55422842828	1	0.872
100	2	B1 SH	SHRIMPLIN	2843.0	62.6689900115	0.561	11.7939185634	11.5833982426	3.97915386551	1	0.846
101	2	B1 SH	SHRIMPLIN	2843.5	54.9367083304	0.568	12.4012975181	11.5364981033	4.1065345433	1	0.821
102	2	B1 SH	SHRIMPLIN	2844.0	58.1056702247	0.585	12.9201508049	11.9722129581	4.03685809378	1	0.795
103	2	B1 SH	SHRIMPLIN	2844.5	63.3297477248	0.583	13.5448893148	12.2097449167	3.92706825805	1	0.769
104	2	B1 SH	SHRIMPLIN	2845.0	65.9821737375	0.566	14.1315262817	12.1503700559	3.83811419021	1	0.744
105	2	B1 SH	SHRIMPLIN	2845.5	66.0998773653	0.543	13.803551492	12.5822663483	3.80879203363	1	0.718
106	2	B1 SH	SHRIMPLIN	2846.0	70.8560676671	0.516	12.050506229	13.7674458118	3.69229043517	1	0.692
107	2	B1 SH	SHRIMPLIN	2846.5	74.970730579	0.496	9.43474198696	16.2193501061	3.63976872655	1	0.667
108	3	B1 SH	SHRIMPLIN	2847.0	84.7925495503	0.486	7.55679644746	19.7717525831	3.52756125818	1	0.641
109	3	B1 SH	SHRIMPLIN	2847.5	92.1708226124	0.483	7.7201961602	21.8440272674	3.4617271247	1	0.615
110	3	B1 SH	SHRIMPLIN	2848.0	94.3946863122	0.486	9.75593635385	20.9841838526	3.43875517581	1	0.59
111	3	B1 SH	SHRIMPLIN	2848.5	92.1656605064	0.493	11.7485506714	18.9053713129	3.460189348	1	0.564
112	3	B1 SH	SHRIMPLIN	2849.0	87.4714380426	0.501	12.1546570668	17.5152273209	3.49880182234	1	0.538
113	3	B1 SH	SHRIMPLIN	2849.5	91.1485216044	0.501	9.72912466769	18.614757079	3.46860480541	1	0.513
114	2	B1 SH	SHRIMPLIN	2850.0	89.1311762303	0.491	6.17829292908	19.4533888665	3.31471277582	1	0.487
115	2	B1 SH	SHRIMPLIN	2850.5	91.4109337926	0.47	4.19489441151	19.2933947063	3.04579672896	1	0.462
116	2	B1 SH	SHRIMPLIN	2851.0	85.9559152313	0.435	4.81032655131	17.6235978561	2.87263172437	1	0.436
117	2	B1 SH	SHRIMPLIN	2851.5	81.2434481193	0.401	6.59803099677	16.7843944566	2.81350039464	1	0.41
118	2	B1 SH	SHRIMPLIN	2852.0	78.8483177723	0.371	7.3142214961	16.6671299914	2.82540816976	1	0.385
119	2	B1 SH	SHRIMPLIN	2852.5	75.1451454837	0.334	6.55113132941	17.125118644	2.88417317433	1	0.359
120	2	B1 SH	SHRIMPLIN	2853.0	72.6028640812	0.307	5.59714548104	17.5365714998	2.93871645593	1	0.333
121	2	B1 SH	SHRIMPLIN	2853.5	75.1139557987	0.297	4.86744122368	16.7632469936	2.96552196877	1	0.308
122	2	B1 SH	SHRIMPLIN	2854.0	72.5874058974	0.301	4.24736660104	15.7386589595	3.03639744163	1	0.282
123	2	B1 SH	SHRIMPLIN	2854.5	75.2374152079	0.314	4.79382475187	15.2021007065	3.23215784373	1	0.256
124	2	B1 SH	SHRIMPLIN	2855.0	76.0561577773	0.338	5.73529115723	15.1715770285	3.42602933607	1	0.231
125	3	B1 SH	SHRIMPLIN	2855.5	82.9338247841	0.377	6.59370045862	16.3234288944	3.60824985494	1	0.205
126	3	B1 SH	SHRIMPLIN	2856.0	88.3830705353	0.428	6.02439590923	17.1186118119	3.55104782744	1	0.179
127	3	B1 SH	SHRIMPLIN	2856.5	85.3289016695	0.47	4.93777168382	16.8642980649	3.37173829674	1	0.154
128	3	B1 SH	SHRIMPLIN	2857.0	81.5757300096	0.509	4.89812946489	16.1508744694	3.29052083874	1	0.128
129	3	B1 SH	SHRIMPLIN	2857.5	78.5167686509	0.539	6.49881315363	16.7187949894	3.41078394905	1	0.103
130	3	B1 SH	SHRIMPLIN	2858.0	87.8242337847	0.548	8.16335683355	18.7001869255	3.42066935452	1	0.077
131	3	B1 SH	SHRIMPLIN	2858.5	88.4269092489	0.556	7.8973960007	21.4839166503	3.36521531077	1	0.051
132	5	B1 LM	SHRIMPLIN	2859.0	79.2747929682	0.629	6.44131455609	21.6327288921	3.26246113284	2	1.0
133	5	B1 LM	SHRIMPLIN	2859.5	53.0752592614	0.668	5.43579267344	18.2255479981	3.35101897905	2	0.944
134	5	B1 LM	SHRIMPLIN	2860.0	38.8371387265	0.703	5.84298218979	11.9061627584	3.76426123062	2	0.889
135	5	B1 LM	SHRIMPLIN	2860.5	29.9203963156	0.744	6.86501355764	6.75766303956	4.27972703705	2	0.833
136	8	B1 LM	SHRIMPLIN	2861.0	28.8954552799	0.803	7.12745180834	4.0979348516	4.62828931791	2	0.778
137	8	B1 LM	SHRIMPLIN	2861.5	23.0551774924	0.913	6.50141428066	3.32538026397	4.72413347887	2	0.722
138	8	B1 LM	SHRIMPLIN	2862.0	20.6494948439	1.031	5.14089859377	3.59509131486	4.83398572482	2	0.667
139	8	B1 LM	SHRIMPLIN	2862.5	19.9596525202	1.147	4.61717001863	2.64511166758	5.06576851048	2	0.611
140	8	B1 LM	SHRIMPLIN	2863.0	18.8222492388	1.292	4.68111400239	2.32537215409	5.49154393373	2	0.556
141	8	B1 LM	SHRIMPLIN	2863.5	18.757458814	1.405	4.86710296006	1.94598393838	5.81121327698	2	0.5
142	8	B1 LM	SHRIMPLIN	2864.0	21.2607044936	1.452	4.71158898732	1.72005840819	6.03993613055	2	0.444
143	6	B1 LM	SHRIMPLIN	2864.5	30.898183439	1.465	4.07164076336	2.22185037264	5.98093995613	2	0.389
144	6	B1 LM	SHRIMPLIN	2865.0	42.7292792797	1.48	3.65554876746	3.05317729348	5.8223857581	2	0.333
145	6	B1 LM	SHRIMPLIN	2865.5	47.3325404517	1.479	3.8916256533	3.17281371973	5.63106016998	2	0.278
146	6	B1 LM	SHRIMPLIN	2866.0	45.7940481427	1.437	4.13618393469	2.83416249172	5.60902742351	2	0.222
147	6	B1 LM	SHRIMPLIN	2866.5	43.3285552462	1.36	4.16252011536	3.18254471273	5.70536533413	2	0.167
148	6	B1 LM	SHRIMPLIN	2867.0	45.7689742686	1.249	3.52268052393	3.38857312986	5.8022686581	2	0.111
149	6	B1 LM	SHRIMPLIN	2867.5	53.0705365616	1.104	3.46532652778	4.02579331505	5.706789342	2	0.056
150	3	B2 SH	SHRIMPLIN	2868.0	64.6776711601	0.966	4.39008391913	5.40071919563	5.21675697741	1	1.0
151	3	B2 SH	SHRIMPLIN	2868.5	74.1383322986	0.862	6.68184606641	8.07536111121	4.57145212073	1	0.964
152	3	B2 SH	SHRIMPLIN	2869.0	89.7643485794	0.806	9.01359874751	11.3351294921	3.9690055319	1	0.929
153	3	B2 SH	SHRIMPLIN	2869.5	92.217085078	0.763	10.05121083	13.5226452996	3.56895835704	1	0.893
154	2	B2 SH	SHRIMPLIN	2870.0	91.6497268178	0.714	9.51869406932	12.4245259718	3.385389784	1	0.857
155	2	B2 SH	SHRIMPLIN	2870.5	85.1850494793	0.661	9.05995049228	10.6829359051	3.3243732708	1	0.821
156	2	B2 SH	SHRIMPLIN	2871.0	76.6395299605	0.602	9.52462527738	9.54193153114	3.46046816412	1	0.786
157	2	B2 SH	SHRIMPLIN	2871.5	76.6259432309	0.561	11.2516689419	10.4372136777	3.67598019243	1	0.75
158	2	B2 SH	SHRIMPLIN	2872.0	85.8280767764	0.537	13.2044460072	13.6304555726	3.83865701694	1	0.714
159	3	B2 SH	SHRIMPLIN	2872.5	98.9597816813	0.525	14.5441364459	16.3039310065	3.93781882836	1	0.679
160	3	B2 SH	SHRIMPLIN	2873.0	104.105235325	0.522	14.4259547351	17.3445008793	3.86272475547	1	0.643
161	3	B2 SH	SHRIMPLIN	2873.5	98.5287371267	0.52	13.1755407071	16.8786166524	3.79400467728	1	0.607
162	3	B2 SH	SHRIMPLIN	2874.0	96.4601206438	0.516	12.3935690523	14.5208816103	3.75366156519	1	0.571
163	3	B2 SH	SHRIMPLIN	2874.5	89.0618214548	0.507	11.4036738345	13.5119227296	3.75952207482	1	0.536
164	3	B2 SH	SHRIMPLIN	2875.0	83.9533117325	0.504	10.7619610231	12.4050854081	3.76541524831	1	0.5
165	2	B2 SH	SHRIMPLIN	2875.5	78.7101129387	0.512	10.309136247	11.5094933536	3.94721959267	1	0.464
166	2	B2 SH	SHRIMPLIN	2876.0	69.233834698	0.529	9.75814778003	11.3375439768	4.11407343752	1	0.429
167	2	B2 SH	SHRIMPLIN	2876.5	67.5242995217	0.559	9.31121294069	10.9137740998	4.31757790155	1	0.393
168	2	B2 SH	SHRIMPLIN	2877.0	64.3629859538	0.589	8.30358069101	10.0141979833	4.37938605733	1	0.357
169	2	B2 SH	SHRIMPLIN	2877.5	63.2231009275	0.604	6.96110394233	9.59625423285	4.39064663702	1	0.321
170	2	B2 SH	SHRIMPLIN	2878.0	59.1507597194	0.604	6.00201361593	8.40129292385	4.32246809164	1	0.286
171	2	B2 SH	SHRIMPLIN	2878.5	62.188440559	0.58	5.65441901942	8.45517339691	4.19824722776	1	0.25
172	2	B2 SH	SHRIMPLIN	2879.0	64.8525207037	0.543	5.83411291076	10.2886182106	3.973069322	1	0.214
173	2	B2 SH	SHRIMPLIN	2879.5	74.4007765541	0.519	4.28312846707	15.4946877014	3.78116970885	1	0.179
174	3	B2 SH	SHRIMPLIN	2880.0	83.0606271655	0.502	1.4772903095	24.145393581	3.56941168567	1	0.143
175	3	B2 SH	SHRIMPLIN	2880.5	85.0923357319	0.5	-2.04816232278	32.0103313253	3.26206931277	1	0.107
176	3	B2 SH	SHRIMPLIN	2881.0	80.2151218318	0.519	-3.70152037362	34.4574678555	2.95527169798	1	0.071
177	3	B2 SH	SHRIMPLIN	2881.5	69.976204654	0.543	-2.59339603129	29.2504087661	2.75885654425	1	0.036
178	7	B2 LM	SHRIMPLIN	2882.0	50.6414085621	0.567	0.127152022776	18.3352641161	2.97706237838	2	1.0
179	7	B2 LM	SHRIMPLIN	2882.5	29.638062183	0.601	2.93147340393	8.63487688191	3.78368538584	2	0.938
180	7	B2 LM	SHRIMPLIN	2883.0	20.4904432218	0.656	3.9510030165	3.44980985811	4.81383483032	2	0.875
181	8	B2 LM	SHRIMPLIN	2883.5	16.4519746743	0.747	4.76407224913	1.87752748978	5.74260681845	2	0.813
182	8	B2 LM	SHRIMPLIN	2884.0	16.9182755423	0.855	5.49806258498	2.67042145758	6.17855441709	2	0.75
183	8	B2 LM	SHRIMPLIN	2884.5	16.756281506	0.982	5.50500008867	3.83262978161	6.29763712898	2	0.688
184	8	B2 LM	SHRIMPLIN	2885.0	15.2415206645	1.107	5.62616842007	4.30589769812	6.17881905185	2	0.625
185	8	B2 LM	SHRIMPLIN	2885.5	21.5497637044	1.17	4.9959845159	4.77532835964	5.9814404693	2	0.563
186	8	B2 LM	SHRIMPLIN	2886.0	24.2841716084	1.173	5.00989233026	4.86509587612	5.81553049203	2	0.5
187	8	B2 LM	SHRIMPLIN	2886.5	28.9371333396	1.15	4.74810854073	4.64840205232	5.78317374878	2	0.438
188	8	B2 LM	SHRIMPLIN	2887.0	35.4880469573	1.115	5.20987137812	4.55091263772	5.70898383798	2	0.375
189	8	B2 LM	SHRIMPLIN	2887.5	42.0935988346	1.064	5.25759972874	4.6381979338	5.63862554281	2	0.313
190	8	B2 LM	SHRIMPLIN	2888.0	43.4612095821	1.008	5.04668568911	4.72861278578	5.59018215136	2	0.25
191	6	B2 LM	SHRIMPLIN	2888.5	42.7846182609	0.943	4.35359966889	5.3031768922	5.60674751106	2	0.188
192	6	B2 LM	SHRIMPLIN	2889.0	37.8262610719	0.88	4.26146729985	5.99163589711	5.57056681117	2	0.125
193	6	B2 LM	SHRIMPLIN	2889.5	42.3527697199	0.812	5.95624504816	7.44080740091	5.24960904567	2	0.063
194	2	B3 SH	SHRIMPLIN	2890.0	60.621408131	0.74	9.09640435165	9.43975326424	4.70890772302	1	1.0
195	2	B3 SH	SHRIMPLIN	2890.5	77.9364184975	0.684	12.0707423893	10.6603328557	4.095428297	1	0.967
196	2	B3 SH	SHRIMPLIN	2891.0	88.1427624753	0.648	13.6696556915	12.1715049587	3.69277225659	1	0.933
197	2	B3 SH	SHRIMPLIN	2891.5	92.5635767638	0.619	13.9188238031	12.2865381414	3.57389115745	1	0.9
198	2	B3 SH	SHRIMPLIN	2892.0	91.8705852693	0.584	12.9315360554	12.2575725882	3.6402582256	1	0.867
199	2	B3 SH	SHRIMPLIN	2892.5	94.5297087928	0.559	12.0597583682	12.3018238505	3.71511629956	1	0.833
200	2	B3 SH	SHRIMPLIN	2893.0	88.7757713384	0.548	11.3038129708	11.8196643546	3.65408189908	1	0.8
201	2	B3 SH	SHRIMPLIN	2893.5	85.9500907537	0.542	10.776300946	11.9674066554	3.47972682339	1	0.767
202	2	B3 SH	SHRIMPLIN	2894.0	83.1845167239	0.535	10.6436350822	12.4010038383	3.44328678924	1	0.733
203	2	B3 SH	SHRIMPLIN	2894.5	84.6625098754	0.529	10.9985148695	12.6634244509	3.31234065692	1	0.7
204	2	B3 SH	SHRIMPLIN	2895.0	85.0858999365	0.524	11.4578628246	13.6812912796	3.29945201378	1	0.667
205	2	B3 SH	SHRIMPLIN	2895.5	82.2437596468	0.515	11.2777561414	13.4276477039	3.25795202656	1	0.633
206	2	B3 SH	SHRIMPLIN	2896.0	79.8273732562	0.501	10.2040814816	13.2097770348	3.26836938966	1	0.6
207	2	B3 SH	SHRIMPLIN	2896.5	73.5580965009	0.489	9.26187144026	12.7979219021	3.24912433578	1	0.567
208	2	B3 SH	SHRIMPLIN	2897.0	75.4722454253	0.481	8.65287347058	11.9573469259	3.21645620167	1	0.533
209	2	B3 SH	SHRIMPLIN	2897.5	75.513267716	0.477	8.40571146756	12.5865895257	3.20522190748	1	0.5
210	2	B3 SH	SHRIMPLIN	2898.0	84.4353949122	0.471	8.51865103316	13.0803557703	3.2102170352	1	0.467
211	2	B3 SH	SHRIMPLIN	2898.5	90.6813612682	0.467	8.72511584796	13.9165391196	3.26999317024	1	0.433
212	2	B3 SH	SHRIMPLIN	2899.0	93.8493224124	0.467	8.8883458634	14.2335765141	3.29871967276	1	0.4
213	2	B3 SH	SHRIMPLIN	2899.5	84.4248616039	0.467	9.32525881662	13.6329676142	3.33553378914	1	0.367
214	2	B3 SH	SHRIMPLIN	2900.0	76.3886518801	0.471	9.22638135161	12.7368246445	3.36008345476	1	0.333
215	2	B3 SH	SHRIMPLIN	2900.5	64.0210071772	0.48	8.57942945454	11.7440932932	3.30549394704	1	0.3
216	2	B3 SH	SHRIMPLIN	2901.0	66.1369730201	0.487	8.16028282337	11.537751275	3.30222211679	1	0.267
217	2	B3 SH	SHRIMPLIN	2901.5	68.6195275911	0.484	7.4628792994	11.1818380591	3.34519919054	1	0.233
218	2	B3 SH	SHRIMPLIN	2902.0	78.4539060479	0.479	7.85537575482	11.3168849234	3.45304314164	1	0.2
219	2	B3 SH	SHRIMPLIN	2902.5	86.3850970098	0.471	8.5180385489	12.6907931271	3.49332562291	1	0.167
220	3	B3 SH	SHRIMPLIN	2903.0	96.4473224196	0.464	8.72353159631	16.745765124	3.52623119182	1	0.133
